date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m�),PAR (�mol/m�/s),max. PAR (�mol/m�/s),Tlog (degC),OT
2020-01-01 01,1008.4383333333334,-1.3833333333333335,271.125,-3.231666666666667,87.16666666666667,5.52,4.81,0.71,2.9716666666666662,4.7700000000000005,1290.2766666666666,0.5866666666666667,1.2633333333333334,166.93333333333334,0.0,0.0,249.09333333333333,334.62,345.625,10.055,441.6333333333334
2020-01-01 02,1008.0216666666666,-0.585,271.955,-2.735,85.3,5.853333333333333,4.99,0.8616666666666667,3.0866666666666664,4.95,1285.875,1.1966666666666665,2.2816666666666667,149.71666666666667,0.0,0.0,299.83166666666665,434.685,440.70166666666665,11.906666666666666,439.5
2020-01-01 02,1007.4366666666666,1.5233333333333334,274.09999999999997,-1.7216666666666667,78.95,6.828333333333333,5.383333333333333,1.4433333333333334,3.33,5.343333333333334,1275.085,0.8933333333333332,1.8566666666666667,167.45000000000002,0.0,0.0,272.435,469.305,472.55333333333334,13.403333333333334,438.0333333333333
2020-01-01 02,1006.8216666666667,3.42,276.04333333333335,-1.08,72.26666666666667,7.815,5.6433333333333335,2.1733333333333333,3.4933333333333336,5.603333333333333,1265.4333333333334,0.9249999999999999,1.71,189.4333333333333,0.0,0.0,214.18500000000003,425.57666666666665,431.6933333333333,15.199999999999998,433.2
2020-01-01 02,1006.2049999999999,3.811666666666667,276.48,-1.0016666666666667,70.68666666666667,8.031666666666666,5.676666666666667,2.3583333333333334,3.516666666666667,5.638333333333333,1262.8533333333335,0.9233333333333333,1.8166666666666667,195.20000000000002,0.0,0.0,155.76666666666668,304.24666666666667,317.8566666666666,17.223333333333333,429.5833333333333
2020-01-01 02,1005.9899999999999,4.355,277.0466666666667,-0.7933333333333333,69.06166666666667,8.345,5.761666666666667,2.5833333333333335,3.5700000000000003,5.728333333333333,1260.0583333333334,0.5866666666666667,1.0266666666666666,210.16666666666666,0.0,0.0,58.653333333333336,123.90500000000002,137.965,18.396666666666665,427.1666666666667
2020-01-01 02,1005.7783333333333,3.0366666666666666,275.7416666666667,-1.2916666666666667,73.11666666666667,7.601666666666667,5.555,2.045,3.4433333333333334,5.523333333333333,1265.925,0.8083333333333335,1.2533333333333334,196.25833333333333,0.0,0.0,2.4816666666666665,13.481666666666667,17.308333333333334,17.718333333333334,424.95
2020-01-01 03,1005.9733333333334,1.3083333333333333,274.00333333333333,-1.825,79.55,6.72,5.34,1.3766666666666667,3.3083333333333336,5.308333333333333,1274.24,1.045,1.6533333333333333,171.1483333333333,0.0,0.0,0.0,0.0,0.0,15.336666666666666,430.84999999999997
2020-01-01 03,1005.7800000000001,0.02,272.73,-2.3433333333333333,84.05,6.12,5.141666666666667,0.9783333333333334,3.186666666666667,5.111666666666667,1280.1016666666667,0.6683333333333333,1.1500000000000001,182.9333333333333,0.0,0.0,0.0,0.0,0.0,13.176666666666668,432.3666666666666
2020-01-01 03,1005.625,-1.3533333333333335,271.37333333333333,-2.9316666666666666,88.91666666666667,5.533333333333334,4.92,0.6133333333333334,3.0483333333333333,4.891666666666667,1286.4616666666668,0.4083333333333334,0.8233333333333333,149.09833333333333,0.0,0.0,0.0,0.0,0.0,11.596666666666666,436.8666666666666
2020-01-01 03,1005.3833333333333,-2.08,270.6666666666667,-3.34,91.01666666666667,5.241666666666666,4.773333333333333,0.4716666666666667,2.9583333333333335,4.745,1289.675,0.7216666666666667,1.3166666666666667,155.76666666666665,0.0,0.0,0.0,0.0,0.0,10.36,438.1666666666667
2020-01-01 03,1005.035,-2.975,269.795,-3.8183333333333334,93.86666666666667,4.901666666666666,4.6000000000000005,0.3016666666666667,2.8516666666666666,4.578333333333333,1293.595,0.645,1.24,148.79833333333332,0.0,0.0,0.0,0.0,0.0,9.548333333333334,441.5
2020-01-01 03,1004.6133333333333,-3.3033333333333332,269.5,-4.051666666666667,94.51666666666667,4.785,4.52,0.26166666666666666,2.8033333333333332,4.5,1294.66,0.7833333333333333,1.6566666666666665,110.54166666666667,0.0,0.0,0.0,0.0,0.0,8.805,441.55
2020-01-01 04,1004.3649999999999,-3.203333333333333,269.62166666666667,-4.2299999999999995,92.56666666666666,4.821666666666666,4.461666666666667,0.36000000000000004,2.768333333333333,4.441666666666666,1293.885,0.4033333333333333,0.8033333333333333,211.6833333333333,0.0,0.0,0.0,0.0,0.0,8.1,435.3833333333334
2020-01-01 04,1004.1033333333334,-3.7416666666666667,269.1016666666667,-4.943333333333333,91.31666666666666,4.628333333333333,4.226666666666667,0.4033333333333333,2.625,4.21,1296.2533333333333,0.465,0.7733333333333334,173.17999999999998,0.0,0.0,0.0,0.0,0.0,7.72,437.59999999999997
2020-01-01 04,1003.8249999999999,-4.3549999999999995,268.5083333333333,-5.423333333333333,92.21666666666665,4.418333333333334,4.073333333333333,0.34500000000000003,2.5283333333333333,4.058333333333334,1298.93,0.715,1.29,215.75,0.0,0.0,0.0,0.0,0.0,7.421666666666667,442.31666666666666
2020-01-01 04,1003.6116666666667,-4.406666666666666,268.4766666666667,-5.601666666666667,91.3,4.405,4.0216666666666665,0.38166666666666665,2.4966666666666666,4.006666666666667,1298.9233333333334,0.84,1.51,171.78333333333333,0.0,0.0,0.0,0.0,0.0,7.126666666666666,441.6666666666667
2020-01-01 04,1003.1816666666667,-4.935,267.98333333333335,-6.076666666666667,91.63333333333333,4.2299999999999995,3.875,0.35333333333333333,2.4033333333333333,3.861666666666667,1300.9816666666666,0.5466666666666667,1.3933333333333333,139.15,0.0,0.0,0.0,0.0,0.0,7.995,445.81666666666666
2020-01-01 04,1003.195,-4.933333333333334,267.98499999999996,-6.2250000000000005,90.58333333333333,4.2316666666666665,3.8316666666666666,0.39999999999999997,2.3800000000000003,3.8200000000000003,1301.02,0.7666666666666666,1.3466666666666667,146.03833333333333,0.0,0.0,0.0,0.0,0.0,8.723333333333334,447.4166666666667
2020-01-01 05,1002.6633333333333,-5.239999999999999,267.7183333333333,-6.791666666666667,88.75,4.131666666666667,3.6666666666666665,0.465,2.276666666666667,3.6566666666666667,1301.8983333333333,0.8666666666666667,1.58,164.75,0.0,0.0,0.0,0.0,0.0,7.453333333333333,444.81666666666666
2020-01-01 05,1002.5099999999999,-5.566666666666666,267.405,-6.868333333333333,90.43333333333334,4.031666666666667,3.643333333333333,0.3833333333333333,2.265,3.635,1303.2866666666666,0.48333333333333334,1.1533333333333333,133.96666666666667,0.0,0.0,0.0,0.0,0.0,8.94,451.81666666666666
2020-01-01 05,1002.3816666666667,-5.048333333333333,267.9316666666667,-6.765000000000001,87.64999999999999,4.193333333333333,3.6733333333333333,0.52,2.283333333333333,3.6649999999999996,1300.6016666666667,0.77,1.8283333333333334,103.72166666666665,0.0,0.0,0.0,0.0,0.0,7.890000000000001,446.98333333333335
2020-01-01 05,1002.2916666666666,-5.163333333333333,267.82,-6.855,87.81666666666666,4.16,3.651666666666667,0.51,2.268333333333333,3.641666666666667,1301.05,0.7200000000000001,1.5899999999999999,138.57833333333335,0.0,0.0,23.373333333333335,20.786666666666665,26.61,9.020000000000001,449.68333333333334
2020-01-01 05,1002.1150000000001,-4.336666666666667,268.66,-6.656666666666666,83.73333333333333,4.426666666666667,3.706666666666667,0.7233333333333333,2.3033333333333332,3.6966666666666668,1296.7933333333333,0.945,2.091666666666667,147.95,0.0,0.0,142.01833333333335,157.11166666666668,172.78,8.588333333333333,455.5
2020-01-01 05,1001.6066666666666,-3.1950000000000003,269.8433333333333,-5.878333333333334,81.61666666666666,4.831666666666667,3.935,0.895,2.4466666666666668,3.9283333333333332,1290.5533333333333,1.0066666666666666,1.8983333333333334,174.5,0.0,0.0,311.1333333333334,342.69666666666666,356.75666666666666,9.540000000000001,458.6666666666667
2020-01-01 06,1001.1916666666666,-0.5016666666666667,272.56333333333333,-5.071666666666666,71.11833333333334,5.890000000000001,4.1866666666666665,1.7083333333333333,2.6033333333333335,4.178333333333334,1277.1583333333333,0.9666666666666667,2.415,185.63333333333333,0.0,0.0,379.4766666666667,461.195,467.62999999999994,11.268333333333333,450.05
2020-01-01 06,1000.1516666666666,2.5566666666666666,275.70666666666665,-4.345,60.300000000000004,7.366666666666667,4.425,2.9416666666666664,2.7566666666666664,4.423333333333333,1261.57,1.5833333333333333,2.566666666666667,208.46666666666667,0.0,0.0,306.44,481.0783333333333,483.81333333333333,12.865,442.45
2020-01-01 06,999.2566666666667,5.881666666666667,279.09999999999997,-3.0366666666666666,52.578333333333326,9.286666666666667,4.881666666666667,4.401666666666666,3.045,4.891666666666667,1245.195,1.2783333333333333,2.433333333333333,181.41666666666666,0.0,0.0,216.56833333333336,427.73499999999996,434.81333333333333,15.198333333333332,438.18333333333334
2020-01-01 06,998.81,5.805,279.06333333333333,-1.5016666666666667,59.29333333333333,9.233333333333333,5.473333333333334,3.7633333333333336,3.4150000000000005,5.4816666666666665,1244.69,1.4349999999999998,2.93,180.83333333333334,0.0,0.0,152.68333333333334,297.425,310.65000000000003,18.051666666666666,437.15000000000003
2020-01-01 06,998.7466666666666,5.493333333333333,278.75166666666667,-1.32,61.39333333333334,9.036666666666667,5.543333333333333,3.4883333333333333,3.4600000000000004,5.551666666666667,1245.985,1.5733333333333333,2.6416666666666666,180.96666666666667,0.0,0.0,60.328333333333326,122.61833333333334,135.715,19.176666666666666,434.0
2020-01-01 06,999.2216666666667,3.47,276.69166666666666,-1.6266666666666667,69.16166666666668,7.841666666666666,5.420000000000001,2.4216666666666664,3.3816666666666664,5.425,1255.7416666666666,1.343333333333333,2.3266666666666667,130.545,0.0,0.0,3.051666666666667,13.738333333333335,17.856666666666666,18.150000000000002,438.2
2020-01-01 07,999.535,2.0916666666666663,275.28833333333336,-2.1300000000000003,73.55,7.108333333333333,5.223333333333334,1.89,3.2566666666666664,5.2250000000000005,1262.5233333333333,1.6916666666666667,2.4333333333333336,124.11333333333333,0.0,0.0,0.0,0.0,0.0,15.305,440.6166666666666
2020-01-01 07,999.7416666666667,0.895,274.075,-2.4883333333333333,78.0,6.521666666666666,5.083333333333333,1.4366666666666668,3.1683333333333334,5.083333333333333,1268.365,1.63,2.2866666666666666,224.36666666666667,0.0,0.0,0.0,0.0,0.0,13.086666666666666,446.2
2020-01-01 07,1000.0666666666666,-0.365,272.7916666666667,-2.91,82.85000000000001,5.948333333333333,4.926666666666667,1.0216666666666667,3.07,4.926666666666667,1274.7066666666667,1.5583333333333333,2.3800000000000003,197.5666666666667,0.0,0.0,0.0,0.0,0.0,11.901666666666666,446.31666666666666
2020-01-01 07,1000.0083333333333,-0.47500000000000003,272.68333333333334,-2.8033333333333332,84.18333333333334,5.898333333333333,4.968333333333334,0.9333333333333332,3.095,4.966666666666667,1275.125,1.8983333333333334,2.768333333333333,200.20000000000002,0.0,0.0,0.0,0.0,0.0,11.266666666666667,445.8333333333333
2020-01-01 07,999.535,-0.18666666666666665,273.0083333333333,-2.396666666666667,84.96666666666667,6.0249999999999995,5.12,0.9066666666666667,3.1933333333333334,5.12,1273.11,1.2983333333333333,2.5666666666666664,180.48333333333335,0.0,0.0,0.0,0.0,0.0,11.346666666666666,445.4666666666667
2020-01-01 07,998.8783333333334,0.2866666666666667,273.535,-1.9216666666666666,85.03333333333333,6.238333333333333,5.301666666666667,0.9316666666666666,3.3083333333333336,5.31,1269.9766666666667,2.276666666666667,4.043333333333334,149.6833333333333,0.0,0.0,0.0,0.0,0.0,11.705,439.18333333333334
2020-01-01 08,998.5949999999999,0.6183333333333333,273.8883333333333,-1.5250000000000001,85.46666666666668,6.390000000000001,5.461666666666667,0.9283333333333333,3.408333333333333,5.468333333333334,1268.0033333333333,1.5033333333333332,2.9583333333333335,112.37,0.0,0.0,0.0,0.0,0.0,11.546666666666667,436.7166666666667
2020-01-01 08,998.1933333333333,0.84,274.14000000000004,-1.1483333333333332,86.5,6.489999999999999,5.614999999999999,0.875,3.5066666666666664,5.625,1266.3999999999999,1.0033333333333332,1.8566666666666667,105.23166666666667,0.0,0.0,0.0,0.0,0.0,11.513333333333334,435.56666666666666
2020-01-01 08,997.6016666666666,1.845,275.1933333333333,-0.31833333333333336,85.48333333333333,6.9816666666666665,5.965,1.015,3.7283333333333335,5.9816666666666665,1260.8466666666666,2.2583333333333333,3.2016666666666667,191.48333333333335,0.0,0.0,0.0,0.0,0.0,11.571666666666665,431.34999999999997
2020-01-01 08,996.9533333333334,1.7033333333333334,275.1033333333333,-0.325,86.31666666666666,6.911666666666666,5.965,0.9483333333333334,3.7283333333333335,5.9816666666666665,1260.675,3.66,4.9366666666666665,185.78333333333333,0.0,0.0,0.0,0.0,0.0,11.911666666666667,430.95
2020-01-01 08,996.4516666666667,2.703333333333333,276.14166666666665,0.425,84.89999999999999,7.425,6.301666666666667,1.125,3.9433333333333334,6.323333333333333,1255.3166666666666,4.665,7.206666666666666,196.5666666666667,0.0,0.0,0.0,0.0,0.0,11.918333333333335,428.3833333333334
2020-01-01 08,995.945,2.9583333333333335,276.43833333333333,0.6433333333333334,84.68333333333332,7.5566666666666675,6.3999999999999995,1.16,4.008333333333334,6.426666666666667,1253.4716666666666,3.9233333333333333,6.359999999999999,189.45000000000002,0.0,0.0,0.0,0.0,0.0,12.263333333333334,430.0333333333333
2020-01-01 09,995.5033333333334,2.955,276.47166666666664,0.75,85.36666666666667,7.558333333333334,6.451666666666667,1.1083333333333332,4.038333333333333,6.4799999999999995,1252.9083333333333,3.7783333333333338,5.22,187.36666666666667,0.0,0.0,0.0,0.0,0.0,12.483333333333334,432.01666666666665
2020-01-01 09,995.2833333333333,2.5466666666666664,276.0783333333333,0.4916666666666667,86.25,7.338333333333334,6.329999999999999,1.01,3.9633333333333334,6.359999999999999,1254.54,3.935,5.663333333333333,177.54999999999998,0.0,0.0,0.0,0.0,0.0,12.705,433.56666666666666
2020-01-01 09,994.98,2.793333333333333,276.3516666666667,0.6283333333333333,85.60000000000001,7.471666666666667,6.3950000000000005,1.0766666666666667,4.008333333333334,6.426666666666667,1253.0049999999999,3.9433333333333334,5.13,175.58333333333334,0.0,0.0,0.0,0.0,0.0,12.86,433.93333333333334
2020-01-01 09,994.6283333333334,3.6666666666666665,277.25333333333333,1.0166666666666666,82.73333333333333,7.95,6.576666666666667,1.3733333333333333,4.121666666666667,6.609999999999999,1248.5133333333333,3.6666666666666665,5.55,187.23333333333335,0.0,0.0,2.0116666666666667,5.118333333333333,6.239999999999999,13.08,433.4666666666667
2020-01-01 09,994.2616666666667,3.331666666666667,276.94666666666666,0.84,83.64999999999999,7.763333333333333,6.493333333333333,1.27,4.073333333333333,6.53,1249.6116666666667,2.9516666666666667,4.8,165.01666666666668,0.0,0.0,14.083333333333334,31.304999999999996,37.32,13.635,435.45
2020-01-01 09,993.8416666666667,3.5683333333333334,277.2183333333333,1.0533333333333335,83.55,7.891666666666666,6.595,1.2983333333333333,4.138333333333333,6.635000000000001,1247.9666666666665,2.5033333333333334,4.005,170.61666666666667,0.0,0.0,26.426666666666666,59.071666666666665,79.215,14.091666666666667,435.3833333333334
2020-01-01 10,993.2316666666667,4.205,277.905,1.425,82.03333333333333,8.255,6.7749999999999995,1.4833333333333334,4.253333333333334,6.82,1244.25,1.7766666666666666,3.171666666666667,168.29999999999998,0.0,0.0,30.849999999999998,70.14166666666667,84.71666666666667,14.661666666666667,435.31666666666666
2020-01-01 10,992.2933333333334,5.428333333333334,279.20666666666665,2.1266666666666665,79.25,9.001666666666667,7.126666666666666,1.8766666666666667,4.4783333333333335,7.1816666666666675,1237.4550000000002,2.641666666666667,4.655,164.46666666666667,0.0,0.0,53.555,116.92333333333333,130.50166666666667,15.479999999999999,429.31666666666666
2020-01-01 10,991.745,6.908333333333334,280.7316666666667,2.555,73.71666666666667,9.963333333333333,7.346666666666667,2.62,4.618333333333333,7.406666666666666,1230.1233333333332,6.486666666666667,9.623333333333333,207.8166666666667,0.0,0.0,69.21666666666667,148.94,173.39166666666665,15.986666666666666,422.56666666666666
2020-01-01 10,991.3533333333334,6.536666666666666,280.3933333333333,2.5749999999999997,75.73333333333333,9.711666666666668,7.353333333333333,2.356666666666667,4.628333333333333,7.421666666666667,1231.2566666666667,7.881666666666667,11.085,212.41666666666666,0.0,0.0,52.21333333333333,111.39,135.68333333333334,15.635,424.34999999999997
2020-01-01 10,991.5733333333334,6.506666666666667,280.34166666666664,2.715,76.64999999999999,9.691666666666668,7.426666666666667,2.263333333333333,4.671666666666667,7.491666666666667,1231.6416666666667,5.890000000000001,8.373333333333333,208.71666666666667,0.0,0.0,23.205,47.90833333333333,55.75833333333333,15.281666666666666,425.6166666666666
2020-01-01 10,991.7766666666666,6.555,280.375,2.86,77.18333333333332,9.723333333333334,7.505,2.2183333333333333,4.721666666666667,7.566666666666666,1231.6416666666667,4.263333333333333,7.109999999999999,213.46666666666667,0.0,0.0,6.103333333333333,12.935,16.12,15.435,425.8
2020-01-01 11,991.82,6.536666666666666,280.35333333333335,3.15,78.89999999999999,9.713333333333333,7.663333333333334,2.05,4.818333333333333,7.726666666666667,1231.7016666666666,4.865,7.383333333333333,203.41666666666666,0.0,0.0,0.0,0.0,0.0,15.616666666666667,425.93333333333334
2020-01-01 11,991.7616666666667,6.543333333333333,280.3666666666667,3.4949999999999997,80.81666666666666,9.715000000000002,7.851666666666667,1.8633333333333333,4.94,7.918333333333333,1231.51,4.405,6.703333333333333,195.9333333333333,0.0,0.0,0.0,0.0,0.0,15.678333333333333,425.8
2020-01-01 11,991.3616666666667,6.996666666666667,280.8516666666667,3.76,79.81666666666666,10.025,8.001666666666667,2.0216666666666665,5.035,8.07,1228.9533333333334,5.758333333333333,8.693333333333333,204.66666666666666,0.0,0.0,0.0,0.0,0.0,15.79,424.8666666666666
2020-01-01 11,991.3416666666667,7.5633333333333335,281.4216666666667,4.2,79.18333333333334,10.423333333333334,8.253333333333332,2.1683333333333334,5.193333333333333,8.325000000000001,1226.3216666666667,6.368333333333333,9.905,210.54999999999998,0.0,0.0,0.0,0.0,0.0,15.721666666666666,423.3666666666666
2020-01-01 11,991.9733333333334,7.853333333333333,281.66333333333336,4.55,79.56666666666666,10.633333333333333,8.458333333333334,2.1733333333333333,5.323333333333333,8.526666666666666,1225.7433333333333,3.953333333333333,6.886666666666667,216.23333333333335,0.0,0.0,0.0,0.0,0.0,16.008333333333333,422.81666666666666
2020-01-01 11,993.0816666666666,7.7250000000000005,281.4433333333333,5.07,83.26666666666667,10.540000000000001,8.773333333333333,1.7666666666666666,5.513333333333333,8.834999999999999,1227.5316666666668,1.9000000000000001,3.8516666666666666,221.0,0.0,75.0,0.0,0.0,0.0,16.724999999999998,423.0333333333333
2020-01-01 12,994.3133333333334,7.776666666666666,281.39500000000004,5.625,86.25,10.576666666666666,9.118333333333334,1.46,5.723333333333334,9.171666666666667,1228.6716666666669,1.7733333333333334,5.18,265.15000000000003,0.05000000000000001,270.0,0.0,0.0,0.0,17.39,422.8333333333333
2020-01-01 12,996.0300000000001,5.843333333333334,279.325,3.6183333333333336,85.56666666666666,9.26,7.926666666666666,1.335,4.965,7.958333333333333,1239.8883333333333,2.1133333333333333,4.32,279.81666666666666,0.0,83.33333333333333,0.0,0.0,0.0,17.05666666666667,418.34999999999997
2020-01-01 12,997.2283333333334,5.03,278.41,2.6216666666666666,84.36666666666666,8.748333333333333,7.381666666666667,1.3666666666666665,4.615,7.3999999999999995,1245.2766666666666,2.1483333333333334,4.233333333333333,266.51666666666665,0.0,0.0,0.0,0.0,0.0,15.981666666666667,418.13333333333327
2020-01-01 12,997.93,4.635,277.96,1.9649999999999999,82.75,8.506666666666666,7.043333333333334,1.4683333333333335,4.401666666666666,7.058333333333334,1248.09,1.8033333333333335,4.093333333333333,269.31666666666666,0.0,0.0,0.0,0.0,0.0,15.424999999999999,418.0833333333333
2020-01-01 12,998.0016666666667,3.8666666666666667,277.18333333333334,1.4783333333333335,84.36666666666666,8.06,6.8,1.26,4.246666666666667,6.8133333333333335,1251.7666666666667,1.6983333333333335,3.561666666666667,268.9166666666667,0.0,0.0,0.0,0.0,0.0,14.856666666666667,418.8833333333334
2020-01-01 12,997.9200000000001,3.7899999999999996,277.115,0.8133333333333334,80.81666666666666,8.018333333333333,6.48,1.5366666666666668,4.048333333333333,6.493333333333333,1252.1433333333334,1.545,3.7699999999999996,270.34999999999997,0.0,0.0,0.0,0.0,0.0,14.131666666666668,419.2833333333333
2020-01-01 13,998.105,3.6733333333333333,276.98333333333335,0.45166666666666666,79.38333333333334,7.951666666666667,6.3133333333333335,1.6383333333333334,3.9416666666666664,6.323333333333333,1252.99,1.9083333333333332,4.18,261.7,0.0,0.0,0.0,0.0,0.0,13.714999999999998,419.56666666666666
2020-01-01 13,998.1983333333333,3.483333333333333,276.78833333333336,0.36833333333333335,79.95,7.846666666666667,6.273333333333333,1.5733333333333333,3.9183333333333334,6.286666666666666,1253.9766666666667,1.8016666666666665,3.9966666666666666,254.98333333333335,0.0,0.0,0.0,0.0,0.0,13.406666666666666,420.25
2020-01-01 13,998.5166666666668,3.2616666666666667,276.54,0.05666666666666667,79.41666666666667,7.72,6.133333333333333,1.59,3.828333333333333,6.141666666666667,1255.465,0.9783333333333334,2.7550000000000003,224.83333333333334,0.0,0.0,0.0,0.0,0.0,13.42,420.6666666666667
2020-01-01 13,998.5683333333333,3.328333333333333,276.59999999999997,-0.2683333333333333,77.18333333333334,7.761666666666667,5.989999999999999,1.7716666666666667,3.7383333333333333,5.998333333333334,1255.2949999999998,1.4466666666666665,3.355,177.63333333333333,0.0,0.0,1.61,5.2749999999999995,6.37,13.604999999999999,420.8333333333333
2020-01-01 13,998.6733333333333,3.355,276.62,-0.5933333333333334,75.23333333333333,7.7749999999999995,5.848333333333334,1.9233333333333331,3.65,5.858333333333333,1255.3666666666666,2.3699999999999997,4.64,232.75,0.0,0.0,11.101666666666667,27.060000000000002,29.856666666666666,13.729999999999999,420.8333333333333
2020-01-01 13,998.4966666666666,3.845,277.12333333333333,-0.5,73.18333333333334,8.046666666666667,5.890000000000001,2.1566666666666667,3.6750000000000003,5.8999999999999995,1252.9116666666666,2.2583333333333333,4.883333333333334,234.9333333333333,0.0,0.0,23.040000000000003,54.63333333333333,58.94166666666666,13.743333333333332,420.76666666666665
2020-01-01 14,997.7733333333332,3.955,277.29,-0.15666666666666665,74.45,8.111666666666666,6.038333333333334,2.0733333333333333,3.7733333333333334,6.05,1251.4283333333333,2.225,4.668333333333333,226.16666666666666,0.0,0.0,31.959999999999997,75.00166666666667,80.95333333333333,14.071666666666667,421.45
2020-01-01 14,996.9416666666666,4.47,277.87,0.018333333333333337,72.73333333333333,8.41,6.116666666666667,2.2933333333333334,3.8233333333333337,6.136666666666667,1248.035,2.9166666666666665,6.783333333333334,226.16666666666666,0.0,0.0,45.005,101.51333333333334,111.03833333333334,14.346666666666666,421.25
2020-01-01 14,995.8066666666667,5.031666666666667,278.52500000000003,0.17,70.68833333333333,8.746666666666668,6.185,2.565,3.8716666666666666,6.21,1244.0583333333334,3.095,6.906666666666666,230.58333333333334,0.0,0.0,55.53333333333334,123.10000000000001,145.39833333333334,14.556666666666667,420.8833333333334
2020-01-01 14,995.9133333333333,5.205,278.69,0.5783333333333334,72.00833333333334,8.856666666666667,6.375,2.481666666666667,3.9883333333333333,6.396666666666667,1243.33,3.7283333333333335,7.396666666666666,248.1833333333333,0.0,35.0,11.94,32.04833333333333,40.54,14.803333333333333,421.0833333333333
2020-01-01 14,996.1283333333334,4.425,277.89,1.6783333333333335,82.26666666666667,8.385,6.896666666666667,1.4883333333333333,4.316666666666666,6.923333333333333,1246.8466666666666,3.206666666666667,6.486666666666667,239.08333333333334,0.016666666666666666,13.333333333333334,11.333333333333334,29.471666666666668,39.51,14.431666666666667,422.2166666666667
2020-01-01 14,996.1516666666666,4.815,278.2816666666667,1.8366666666666667,80.96666666666667,8.618333333333334,6.9750000000000005,1.6416666666666666,4.366666666666666,7.003333333333333,1245.0833333333333,3.0816666666666666,6.276666666666666,233.83333333333334,0.0,0.0,1.4416666666666667,4.341666666666667,5.823333333333333,14.21,423.48333333333335
2020-01-01 15,996.445,5.098333333333334,278.54,1.955,80.06666666666666,8.788333333333332,7.036666666666666,1.7533333333333332,4.405,7.06,1244.1633333333332,3.155,7.086666666666667,238.73333333333335,0.0,15.0,0.0,0.0,0.0,14.461666666666666,423.9666666666667
